"NC Code","Supplier","Brand Name","Age","Proof","Bottle Size","Retail Bottle Price","Mixed Beverage Price",
66-340,"Walton's Distillery","E M Walton's Straight Bourbon","","90",".75L","$36.95","$40.70",
66-341,"Walton's Distillery","Jr Walton's Pine Shine Colada","","40",".75L","$24.95","$28.70",
66-342,"Walton's Distillery","Jr. Walton's Authentic Carolina Moonshine","","100",".75L","$24.95","$28.70",
66-343,"Walton's Distillery","Mag Walton's Peach Shine","","40",".75L","$24.95","$28.70",
66-344,"Walton's Distillery","Mag Walton's Salted Caramel Moonshine","","40",".75L","$24.95","$28.70",
66-345,"Walton's Distillery","E M Walton's Corn Whiskey","","80",".75L","$24.95","$28.70",
66-347,"Walton's Distillery","Junior Walton's Premium Select","","101",".75L","$29.95","$33.70",
66-348,"Walton's Distillery","Kitty Walton's Apple Pie Moonshine","","30",".75L","$24.95","$28.70",
66-350,"Fair Game Beverage","Fair Game Amber Rum","018M","80",".75L","$26.15","$29.90",
66-353,"Fair Game Beverage","Fair Game Apple Brandy","018M","100",".75L","$50.15","$53.90",
66-358,"Fair Game Beverage","Flying Pepper Vodka","","80",".75L","$30.15","$33.90",
66-362,"Eda Rhyne Distilling","Lindera","","80",".75L","$33.35","$37.10",
66-363,"Eda Rhyne Distilling","Old Jerome Rare Grain Whiskey","","101",".375L","$19.05","$20.93",
66-364,"Eda Rhyne Distilling","Appalachian Fernet","","80",".75L","$35.35","$39.10",
66-365,"Eda Rhyne Distilling","Rustic Nocino","","70",".75L","$40.35","$44.10",
66-366,"Eda Rhyne Distilling","Amaro Flora","","72",".75L","$33.35","$37.10",
66-367,"Eda Rhyne Distilling","Amaro Oscura","","60",".75L","$35.35","$39.10",
66-368,"Eda Rhyne Distilling","Amaro Pop - Grapefruit & Flora RTD 4Pk","","14","1.42L","$19.15","$26.25",
66-369,"Eda Rhyne Distilling","Pinnix Gin","001M","92",".75L","$36.95","$40.70",
66-372,"Durham Distillery","Conniption American Dry Gin &Tonic 4Pk","","16","1.42L","$14.95","$22.05",
66-374,"Durham Distillery","Conniption American Dry Gin","","88",".75L","$29.95","$33.70",
66-377,"Durham Distillery","Conniption Navy Strength Gin","","114",".75L","$39.95","$43.70",
66-379,"Durham Distillery","Damn Fine Coffee Liqueur","","34",".375L","$19.95","$21.83",
66-380,"Durham Distillery","Damn Fine Chocolate Liqueur","","32",".375L","$19.95","$21.83",
66-381,"Durham Distillery","Damn Fine Mocha Liqueur","","34",".375L","$19.95","$21.83",
66-382,"Durham Distillery","Cold Distilled Cucumber Vodka","","80",".75L","$24.95","$28.70",
66-384,"Durham Distillery","Cucumber Vodka & Soda RTD 4Pk","","16","1.42L","$14.95","$22.05",
66-385,"Durham Distillery","Conniption Rose Spritz RTD 4Pk","","22","1.42L","$14.95","$22.05",
66-390,"Copper Barrel Distillery","Copper Barrel Strawberry Moonshine","","96",".75L","$25.35","$29.10",
66-391,"Copper Barrel Distillery","Copper Barrel Strawberry Moonshine","","96",".375L","$14.15","$16.03",
66-392,"Copper Barrel Distillery","Copper Barrel Red Cherry Moonshine","","96",".75L","$25.35","$29.10",
66-393,"Copper Barrel Distillery","Copper Barrel Red Cherry Moonshine","","96",".375L","$14.15","$16.03",
66-394,"Copper Barrel Distillery","Copper Barrel Moonshine-White Lightning","","96",".75L","$25.35","$29.10",
66-395,"Copper Barrel Distillery","Copper Barrel Moonshine-White Lightning","","96",".375L","$14.15","$16.03",
66-396,"Copper Barrel Distillery","Copper Barrel Black Cherry Moonshine","","96",".75L","$25.35","$29.10",
66-397,"Copper Barrel Distillery","Copper Barrel Black Cherry Moonshine","","96",".375L","$14.15","$16.03",
66-398,"Copper Barrel Distillery","Copper Barrel Blueberry Moonshine","","96",".75L","$25.35","$29.10",
66-399,"Copper Barrel Distillery","Copper Barrel Blueberry Moonshine","","96",".375L","$14.15","$16.03",
66-400,"Copper Barrel Distillery","Copper Barrel  Multi-Pack","","96",".375L","$14.15","$16.03",
66-401,"Sutler's Spirit Company","Sutler's Gin","","94",".75L","$29.95","$33.70",
66-407,"Instill Distilling","502 Oak Rested Shochu","002Y","100.4",".375L","$28.55","$30.43",
66-408,"Instill Distilling","502 Shochu","","80",".75L","$54.95","$58.70",
66-434,"Cultivated Cocktails","Asheville Creme de Cocao","","60",".375L","$19.95","$21.83",
66-435,"Cultivated Cocktails","Hazel 63 Rum","","80",".75L","$30.95","$34.70",
66-436,"Cultivated Cocktails","Shades of Rosé","","90",".75L","$33.95","$37.70",
66-437,"Cultivated Cocktails","Asheville Coffee Liqueur","","46.4",".375L","$19.95","$21.83",
66-438,"Cultivated Cocktails","Hwy 9 Gin","","90",".75L","$30.95","$34.70",
66-439,"Cultivated Cocktails","Asheville Vodka","","80",".75L","$19.95","$23.70",
66-441,"Call Family Distillers","The Uncatchable Sour Mash Apple Pie","","70",".75L","$24.35","$28.10",
66-442,"Call Family Distillers","The Uncatchable Sour Mash Cherry","","101",".75L","$24.35","$28.10",
66-443,"Call Family Distillers","The Uncatchable Sour Mash Moonshine","","101",".75L","$24.35","$28.10",
66-444,"Call Family Distillers","The Uncatchable Sour Mash Strawberry","","101",".75L","$24.35","$28.10",
